children,contributors,date,form,fulltext_url,pages,parent,title,trove_id,url,volume
,"Goddard, A. D. (Alfred Dean)",1887-1928,Book,http://nla.gov.au/nla.obj-43185641,17,,Rich and poor : a poem / by A.D. Goddard,nla.obj-43185641,https://trove.nla.gov.au/work/10642112,
,"Dobson, John Dunbar",1870-1880,Book,http://nla.gov.au/nla.obj-271492229,29,,Ye rambles & exploits of Professor Chunk / by John Dunbar Dobson ; illustrated and lithographed by Charles Turner,nla.obj-271492229,https://trove.nla.gov.au/work/10661835,
,"Graham, David",1901,Book,http://nla.gov.au/nla.obj-551396052,166,,John Newland : an account of the founder of Bathgate Academy / by David Graham,nla.obj-551396052,https://trove.nla.gov.au/work/10669576,
,"Rogeard, A. (Auguste), 1820-1896",1865-1874,Book,http://nla.gov.au/nla.obj-74356821,12,,Les propos de Labienus / par M. [A.] Rogeard ; translated by G.W. Rusden,nla.obj-74356821,https://trove.nla.gov.au/work/10693957,
,"Tregarthen, Greville",1892-1893,Book,http://nla.gov.au/nla.obj-706170170,58,,A sketch of the progress and resources of New South Wales / by Greville Tregarthen,nla.obj-706170170,https://trove.nla.gov.au/work/10694057,
,"Howe, George, 1769 or 1771-1821",1966,Book,http://nla.gov.au/nla.obj-52804183,65,,"New South Wales pocket almanack and colonial remembrancer, 1806 / [compiled and published by George Howe]",nla.obj-52804183,https://trove.nla.gov.au/work/10726996,
,,1919,Book,http://nla.gov.au/nla.obj-35909257,400,,Australia's fighting sons of the empire : portraits and biographies of Australians in the Great War,nla.obj-35909257,https://trove.nla.gov.au/work/10728935,
,Hunter River New Steam Navigation Company,1852,Book,http://nla.gov.au/nla.obj-406553423,40,,"Deed of settlement of the Hunter River New Steam Navigation Company, Incorporated, 1852",nla.obj-406553423,https://trove.nla.gov.au/work/10730609,
,"Heydon, J. K. (Jabez King)",1865,Book,http://nla.gov.au/nla.obj-395262361,60,,"A controversy between an English Catholic and the Rev. John M'Gibbon, B.A., (Presbyterian minister) on the Bible and the Reformation : originally published in the ""Empire"" newspaper",nla.obj-395262361,https://trove.nla.gov.au/work/10734171,
,"Fetherstonhaugh, Cuthbert, 1837-1925",1894-2012,Digital Publication,http://nla.gov.au/nla.obj-270533417,0,,The meat export trade / by Cuthbert Fetherstonhaugh,nla.obj-270533417,https://trove.nla.gov.au/work/10748675,
,"Nuttall, Charles, 1872-1934",1910,Book,http://nla.gov.au/nla.obj-52807755,2,,The British lion : an Australian artist's impressions of London / by Charles Nuttall,nla.obj-52807755,https://trove.nla.gov.au/work/10752629,
,Australia. National Insurance Commission,1938,Book,http://nla.gov.au/nla.obj-674601980,60,,National insurance : a summary of the principles of the Australian National Health and Pensions Insurance Act 1938,nla.obj-674601980,https://trove.nla.gov.au/work/10756702,
,"Callender, Mary Pauline",1930,Book,http://nla.gov.au/nla.obj-20259296,16,,Marjorie May learns about life / by Mary Pauline Callender,nla.obj-20259296,https://trove.nla.gov.au/work/10779790,
,"Callender, Mary Pauline",1932,Book,http://nla.gov.au/nla.obj-20263790,14,,Marjorie May's twelfth birthday / by Mary Pauline Callender,nla.obj-20263790,https://trove.nla.gov.au/work/10779865,
,"Bishop, J. (James), active 1825-1859",1836,Book,http://nla.gov.au/nla.obj-740610508,64,,A visit to the Zoological Gardens in the Regent's Park : interspersed with a familiar description of the manners and habits of the animals contained therein ... / by J. Bishop,nla.obj-740610508,https://trove.nla.gov.au/work/10781334,
,"Seager, Philip S",1880-1888,Book,https://nla.gov.au/nla.obj-489137612,26,,"Concise history of the acclimatisation of the Salmonidae / by P.S. Seager, Secretary to the Fisheries Board of Tasmania",nla.obj-489137612,https://trove.nla.gov.au/work/10783974,
,"Mitchell, Charles Bullen Hugh Sir",1887,Book,http://nla.gov.au/nla.obj-427843962,18,,"Report in connection with the recent disturbances in, and the affairs of Tonga / Sir C. Mitchell",nla.obj-427843962,https://trove.nla.gov.au/work/10794508,
,Empire Works Company,1920-1929,Book,http://nla.gov.au/nla.obj-94461055,32,,"Where ""Empire"" productions are made",nla.obj-94461055,https://trove.nla.gov.au/work/10798442,
,Great Britain. Parliament. House of Commons,1885-1887,Book,http://nla.gov.au/nla.obj-416302124,180,,Correspondence relating to the native population of Fiji,nla.obj-416302124,https://trove.nla.gov.au/work/10801110,
,"Hammond, J. E. (Jesse E.), 1858",1936-1993,Book,http://nla.gov.au/nla.obj-32997461,260,,Western pioneers : the battle well fought / by J.E. Hammond ; edited by Osland K. Battye,nla.obj-32997461,https://trove.nla.gov.au/work/10823439,
,"Public Library, Museum and Art Gallery of South Australia",1909,Book,http://nla.gov.au/nla.obj-88844290,2,,Adelaide coins on view at National Art Gallery : outline of old history,nla.obj-88844290,https://trove.nla.gov.au/work/10838291,
,"Mascall, Leonard, d. 1589",1590-1973,Book,http://nla.gov.au/nla.obj-658451934,100,,"A booke of fishing with hooke & line, and of all other instruments there-unto belonging : Another of sundrie engines and trappes to take polcats, buzards, rattes, mice and all other kinds of vermine & beasts whatsoever, most profitable for all warriners, and such as delight in this kinde of sport and pastime / made by L. M",nla.obj-658451934,https://trove.nla.gov.au/work/10838859,
,"Brazier, Amos William",1902,Book,http://nla.gov.au/nla.obj-370377315,44,,Marcus Clarke : his work and genius / by A.W. Brazier,nla.obj-370377315,https://trove.nla.gov.au/work/10864377,
,"Russell, J. E. M",1885,Book,http://nla.gov.au/nla.obj-567085631,70,,The pictorial guide to the Blue Mountains of New South Wales and to the districts between Parramatta and Bathurst including the Jenolan Caves : with maps and illustrations / complied and drawn from personal survey by J.E.M. Russell,nla.obj-567085631,https://trove.nla.gov.au/work/10873482,
,,1455,Book,http://nla.gov.au/nla.obj-47610321,8,,"[Single leaf from Leviticus, chapters VI and VII, of the Biblia latina, known as the 42-line Bible]",nla.obj-47610321,https://trove.nla.gov.au/work/10879831,
,"Swain, E. H. F. (Edward Harold Fulcher), 1883-1970",1945,Book,http://nla.gov.au/nla.obj-44334972,15,,"The seven services of the bushlands : based on an address / given by E.H.F. Swain to the Sydney Federation of Bushwalkers, 18th May, 1945",nla.obj-44334972,https://trove.nla.gov.au/work/10885124,
,"Sutton, Harvey, 1882-1963",1935,Book,http://nla.gov.au/nla.obj-342332576,1,,The child guidance clinic / by Harvey Sutton,nla.obj-342332576,https://trove.nla.gov.au/work/10885743,
,Mt. Eliza Progress Association,1926-1985,Book,http://nla.gov.au/nla.obj-43723395,34,,The Early history of Mount Eliza on the Mornington Peninsula,nla.obj-43723395,https://trove.nla.gov.au/work/10895679,
,"Hunt, H. A. (Henry Ambrose)",1908-1946,Book,https://nla.gov.au/nla.obj-489079439,40,,The climate and meteorology of Australia / H.A. Hunt,nla.obj-489079439,https://trove.nla.gov.au/work/10919499,
,"Ford, Edward, 1902-1986",1953,Book,http://nla.gov.au/nla.obj-368189151,0,,The life and work of William Redfern / by Edward Ford,nla.obj-368189151,https://trove.nla.gov.au/work/10923229,
